Name,Info1,Info2,Link,Number,AT
Passionflower ,"Common Names:Ã‚Â passionflower, maypop, apricot vine, maracuja, water lemon ","
Passionflower is a climbing vine that is native to the southeastern United States and Central and South America.
Native peoples of the Americas used passionflower as a sedative. Sixteenth-century Spanish explorers in South America learned of passionflower. The plant was then brought to Europe, where it became widely cultivated and was introduced to European folk medicine.
Today, passionflower is promoted as aÃ‚Â dietary supplementÃ‚Â for anxiety and sleep problems, as well as for pain, heart rhythm problems, menopausal symptoms, and attention-deficit hyperactivity disorder. It is applied to the skin for burns and to treat hemorrhoids.

",https://www.nccih.nih.gov/health/passionflower,40,"Wikijasha, Public domain, via Wikimedia Commons"
Peppermint Oil,"Common Names:Ã‚Â peppermint, peppermint oil ","
The herb peppermint, a natural cross between two types of mint (water mint and spearmint), grows throughout Europe and North America.
Both peppermint leaves and the essential oil from peppermint have been used for health purposes. Peppermint oil is the essential oil taken from the flowering parts and leaves of the peppermint plant. (Essential oils are very concentrated oils containing substances that give a plant its characteristic odor or flavor.)
Peppermint is a common flavoring agent in foods and beverages, and peppermint oil is used as a fragrance in soaps and cosmetics.
Peppermint has been used for health purposes for several thousand years. Records from ancient Greece, Rome, and Egypt mention that it was used for digestive disorders and other conditions.
Today, peppermint is promoted for irritable bowel syndrome (IBS), other digestive problems, the common cold, sinus infections, headaches, and other conditions. Peppermint oil is promoted for topical use (applied to the skin) for problems like headache, muscle aches, joint pain, and itching. In aromatherapy, peppermint oil is promoted for treating coughs and colds, reducing pain, improving mental function, and reducing stress.

",https://www.nccih.nih.gov/health/peppermint-oil,41,"Miscellaneous Items in High Demand, PPOC, Library of Congress, Public domain, via Wikimedia Commons"
Pomegranate,Common Names:Ã‚Â Pomegranate,"
Pomegranate is a small, fruit-bearing tree native to Iran and northern India and cultivated around the world.
Ancient writings described pomegranate as a sacred fruit that provided fertility, abundance, and luck.
Preparations from pomegranate including the juice or extract have been promoted for prevention or treatment of many conditions including heart disease, high blood pressure, high blood cholesterol levels, cancer, and diabetes.

",https://www.nccih.nih.gov/health/pomegranate,42,"Ivar Leidus, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Red Clover ,"Common Names:Ã‚Â  red clover, cow clover, meadow clover, wild clover ","
Like peas and beans, red clover belongs to the family of plants called legumes. Red clover contains substances called isoflavones. Isoflavones are phytoestrogensÃ¢Â€Â”compounds similar to the female hormone estrogen.
Historically, red clover was used for asthma, whooping cough, cancer, and gout. Today, extracts from red clover are most often promoted for menopause symptoms, high cholesterol levels, or osteoporosis.

",https://www.nccih.nih.gov/health/red-clover,43,"George Chernilevsky, Public domain, via Wikimedia Commons"
Rhodiola ,"Common Names:Ã‚Â arctic root, golden root, rose root, kingÃ¢Â€Â™s crown ","
Rhodiola grows in cold regions and at high altitudes in Europe and Asia.
Rhodiola has a long history of medicinal use in Russia, Scandinavia, and other parts of Europe. Traditionally, it was used to attempt to increase endurance, work performance, and tolerance of high altitudes and to treat fatigue, weakness, and other symptoms.
Today, rhodiola is promoted to increase energy, stamina, strength, and mental capacity, improve athletic performance, resist the effects of stress, and help manage depression, anxiety, and other symptoms.

",https://www.nccih.nih.gov/health/rhodiola,44,"Krzysztof Ziarnek, Kenraiz, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Sage,"Common Names:Ã‚Â sage, common sage, garden sage, true sage ","
Sage has a long history of use as a spice and for health purposes. It was used as a traditional herbal remedy in ancient Greece and Rome, as well as in Native American and Chinese medicine.
Today, sage is promoted for sore mouth or throat, memory loss, diabetes, high cholesterol levels, and other conditions.

",https://www.nccih.nih.gov/health/sage,45,"Syrio, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Saw Palmetto,"Common Names:Â saw palmetto, American dwarf palm tree, cabbage palm","Saw palmetto is a shrublike palm native to the southeastern United States. Historically, it was used for a variety of conditions, including disorders of the male and female reproductive organs and coughs due to various diseases.
Currently, saw palmetto is promoted as a dietary supplement for urinary symptoms associated with an enlarged prostate gland (also called benign prostatic hyperplasia or BPH), as well as for chronic pelvic pain, migraine, hair loss, and other conditions.",https://www.nccih.nih.gov/health/saw-palmetto,48,"Seglea, Public domain, via Wikimedia Commons"
Soy,Common Names:Â soy,"This fact sheet focuses on the use of soy by adults for health purposes.
Soybeans have long been cultivated in Asia. Since the 1950s, they have also been produced in other parts of the world, including the Americas.
In addition to its food uses, soy is available in dietary supplements. Soy supplements may contain soy protein, isoflavones (compounds similar in structure to the female hormone estrogen), or other components.
Soy products are promoted for menopausal symptoms, bone health, improving memory, high blood pressure, and high cholesterol levels.",https://www.nccih.nih.gov/health/soy,49,"LinasD, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
St. John's Wort ,"Common Names:Â St. Johnâs wort, hypericum, Klamath weed, goatweed ","St. Johnâs wort is a plant with yellow flowers that has been used in traditional European medicine as far back as the ancient Greeks. The name St. Johnâs wort apparently refers to John the Baptist, as the plant blooms around the time of the feast of St. John the Baptist in late June.
Historically, St. Johnâs wort has been used for a variety of conditions, including kidney and lung ailments, insomnia, and depression, and to aid wound healing.
Currently, St. Johnâs wort is promoted for depression, menopausal symptoms, attention-deficit hyperactivity disorder (ADHD), somatic symptom disorder (a condition in which a person feels extreme, exaggerated anxiety about physical symptoms), obsessive-compulsive disorder, and other conditions. Topical use (applied to the skin) of St. Johnâs wort is promoted for various skin conditions, including wounds, bruises, and muscle pain.
",https://www.nccih.nih.gov/health/st-johns-wort,50,"Matthew T Rader, https://matthewtrader.com, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Tea Tree Oil ,"Common Names:Â tea tree oil, tea tree, Australian tea tree oil, tea tree essential oil, melaleuca oil ","Tea tree oil comes from steam distillation of the leaves of the tea tree. The tea tree grows on the swampy southeast coast of Australia.
The aboriginal people of Australia have traditionally used tea tree oil as an antiseptic (germ killer) and an herbal medicine.
Today, external use of tea tree oil is promoted for various conditions such as acne, athleteâs foot, lice, nail fungus, cuts, mite infection at the base of the eyelids, and insect bites.",https://www.nccih.nih.gov/health/tea-tree-oil,51,"Hewowohiy, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Thunder God Vine,"Common Names:Â thunder god vine, lei gong teng","Thunder god vine is a perennial commonly grown in southeast China. It has reportedly been used for hundreds of years in traditional Chinese medicine.
Currently, thunder god vine is promoted for use orally (by mouth) for rheumatoid arthritis, multiple sclerosis, Crohnâs disease, lupus, psoriasis, fever, and other conditions. It is also promoted for use topically (applied to the skin) for rheumatoid arthritis.
The leaves and roots of thunder god vine are used.",https://www.nccih.nih.gov/health/thunder-god-vine,52,"Qwert1234, Public domain, via Wikimedia Commons"
Turmeric,"Common Names:Â turmeric, turmeric root, Indian saffron","Turmeric, a plant in the ginger family, is native to Southeast Asia and is grown commercially in that region, primarily in India. Its rhizome (underground stem) is used as a culinary spice and traditional medicine.
Historically, turmeric was used in Ayurveda and other traditional Indian medical systems, as well as Eastern Asian medical systems such as traditional Chinese medicine. In India, it was traditionally used for disorders of the skin, upper respiratory tract, joints, and digestive system.
Today, turmeric is promoted as a dietary supplement for a variety of conditions, including arthritis, digestive disorders, respiratory infections, allergies, liver disease, depression, and many others.
Turmeric is a common spice and a major ingredient in curry powder. Curcumin is a major component of turmeric, and the activities of turmeric are commonly attributed to curcuminoids (curcumin and closely related substances). Curcumin gives turmeric its yellow color.
Turmeric dietary supplements are made from the dried rhizome and typically contain a mixture of curcuminoids. Turmeric is also made into a paste for skin conditions.",https://www.nccih.nih.gov/health/turmeric,53,"Simon A. Eugster, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Valerian ,"Common Names:Â valerian, all-heal, garden heliotrope ","Yohimbe is an evergreen tree native to central and western Africa. It has a compound called yohimbine in its bark. The bark has been used traditionally as an aphrodisiac and to enhance sexual performance.
Yohimbe is promoted for erectile dysfunction, athletic performance, weight loss, angina (chest pain caused by not enough blood flow to the heart), high blood pressure, diabetic neuropathy, and more.
Yohimbine hydrochloride, a standardized form of yohimbine, is available in the United States as a prescription drug. This is a different product than dietary supplements made from the bark of the tree.",https://www.nccih.nih.gov/health/valerian,54,"Rosser1954, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Yohimbe,"Common Names:Â yohimbe, johimbi","Yohimbe is an evergreen tree native to central and western Africa. It has a compound called yohimbine in its bark. The bark has been used traditionally as an aphrodisiac and to enhance sexual performance.
Yohimbe is promoted for erectile dysfunction, athletic performance, weight loss, angina (chest pain caused by not enough blood flow to the heart), high blood pressure, diabetic neuropathy, and more.
Yohimbine hydrochloride, a standardized form of yohimbine, is available in the United States as a prescription drug. This is a different product than dietary supplements made from the bark of the tree.",https://www.nccih.nih.gov/health/yohimbe,55,"DMTrott, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
