Name,Info1,Link,Number,AT,,,,,,,,,,
Radionics,"Radionicsâ€”also called electromagnetic therapy (EMT) and the Abrams Methodâ€”is a form of alternative medicine that claims that disease can be diagnosed and treated by applying electromagnetic radiation (EMR), such as radio waves, to the body from an electrically powered device.  It is similar to magnet therapy, which also applies EMR to the body but uses a magnet that generates a static electromagnetic field.
",https://en.wikipedia.org/wiki/Electromagnetic_therapy_(alternative_medicine),52,"Eliyahu747, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Electrohomeopathy,"Electrohomoeopathy (or Mattei cancer cure) is a derivative of homeopathy invented in the 19th century by Count Cesare Mattei. The name is derived from a combination of electro (referring to an electric bio-energy content supposedly extracted from plants and of therapeutic value, rather than electricity in its conventional sense) and homeopathy (referring to an alternative medicinal philosophy developed by Samuel Hahnemann in the 18th century). Electrohomeopathy has been defined as the combination of electrical devices and homeopathy.
",https://en.wikipedia.org/wiki/Electrohomeopathy,53,"Hallwyl Museum, Public domain, via Wikimedia Commons",,,,,,,,,,
Equine-assisted therapy,"Equine-assisted therapy (EAT) encompasses a range of treatments that involve activities with horses and other equines to promote human physical and mental health. The use of EAT has roots in antiquity, and EAT applies to physical health issues in modern form dates to the 1960s.  Modern use of horses for mental health treatment dates to the 1990s.  Systematic review of studies of EAT as applied to physical health date only to about 2007, and a lack of common terminology and standardization has caused problems with meta-analysis. Due to a lack of high-quality studies assessing the efficacy of equine-assisted therapies for mental health treatment, concerns have been raised that these therapies should not replace or divert resources from other evidence-based mental health therapies.
",https://en.wikipedia.org/wiki/Equine-assisted_therapy,54,"Dave Campbell, Public domain, via Wikimedia Commons",,,,,,,,,,
Magnet therapy,"Magnetic therapy is a pseudoscientific alternative medicine practice involving a weak static magnetic fields produced by a permanent magnet.  It is similar to the alternative medicine practice of electromagnetic therapy, which uses a magnetic field generated by an electrically powered device.
",https://en.wikipedia.org/wiki/Magnet_therapy,55,"Magneticsid, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Faith healing,"Faith healing is the practice of prayer and gestures (such as laying on of hands) that are believed by some to elicit divine intervention in spiritual and physical healing, especially the Christian practice. Believers assert that the healing of disease and disability can be brought about by religious faith through prayer or other rituals that, according to adherents, can stimulate a divine presence and power. Religious belief in divine intervention does not depend on empirical evidence of an evidence-based outcome achieved via faith healing.
",https://en.wikipedia.org/wiki/Faith_healing,58,"Famous Players-Lasky Corporation / Paramount Pictures, Public domain, via Wikimedia Commons",,,,,,,,,,
Fasting,"Fasting is the willful refrainment from eating and drinking. In a physiological context, fasting may refer to the metabolic status of a person who has not eaten overnight, or to the metabolic state achieved after complete digestion and absorption of a meal. Several metabolic adjustments occur during fasting. Some diagnostic tests are used to determine a fasting state. For example, a person is assumed to be fasting once 8â€“12 hours have elapsed since the last meal. Metabolic changes of the fasting state begin after absorption of a meal (typically 3â€“5 hours after eating).
",https://en.wikipedia.org/wiki/Fasting,59,"Photo by <a href=""https://unsplash.com/@masjidmpd?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Masjid Pogung Dalangan</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>
  ",,,,,,,,,,
Feldenkrais Method,"The Feldenkrais Method is a type of exercise therapy devised by Israeli MoshÃ© Feldenkrais (1904â€“1984) during the mid-20th century.  The method is claimed to reorganize connections between the brain and body and so improve body movement and psychological state.
",https://en.wikipedia.org/wiki/Feldenkrais_Method,60,"Various, unknown, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Wuxing (Chinese philosophy),"Wuxing (Chinese: äº”è¡Œ; pinyin: wÇ”xÃ­ng), usually translated as Five Phases, is a fivefold conceptual scheme that many traditional Chinese fields used to explain a wide array of phenomena, from cosmic cycles to the interaction between internal organs, and from the succession of political regimes to the properties of medicinal drugs. The ""Five Phases"" are Fire (ç« huÇ’), Water (æ°´ shuÇ), Wood (æœ¨ mÃ¹), Metal or Gold (é‡‘ jÄ«n), and Earth or Soil (åœŸ tÇ”). This order of presentation is known as the ""Days of the Week"" sequence. In the order of ""mutual generation"" (ç›¸ç”Ÿ xiÄngshÄ“ng), they are Wood, Fire, Earth, Metal, and Water. In the order of ""mutual overcoming"" (ç›¸å…‹ xiÄngkÃ¨), they are Wood, Earth, Water, Fire, and Metal.
","https://en.wikipedia.org/wiki/Wuxing_(Chinese_philosophy)#:~:text=Wuxing%20(Chinese%3A%20%E4%BA%94%E8%A1%8C%3B%20pinyin,regimes%20to%20the%20properties%20of",61,"File:Wuxing_fr.svg: Benoît Stella alias User:BenduKiwi    derivative work: Ju gatsu mikka (^o^) appelez moi Ju (^o^), CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Functional medicine,"Functional medicine is a form of alternative medicine that encompasses a number of unproven and disproven methods and treatments. Its proponents claim that it focuses on the ""root causes"" of diseases based on interactions between the environment and the gastrointestinal, endocrine, and immune systems to develop ""individualized treatment plans"" It has been described as pseudoscience, quackery, and at its essence a rebranding of complementary and alternative medicine.
",https://en.wikipedia.org/wiki/Functional_medicine,62,"Emily Watson92, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Ryke Geerd Hamer,"Ryke Geerd Hamer (17 May 1935Â â€“ 2 July 2017), a German ex-physician and the originator of Germanic New Medicine (GNM), also formerly known as German New Medicine and New Medicine, a system of pseudo-medicine that purports to be able to cure cancer. The Swiss Cancer League described Hamer's approach as ""dangerous, especially as it lulls the patients into a false sense of security, so that they are deprived of other effective treatments.""
",https://en.wikipedia.org/wiki/German_New_Medicine,63,"Caroline Markoline, CC0, via Wikimedia Commons",,,,,,,,,,
Sylvester Graham,"The Reverend Sylvester Graham (July 5, 1794 â€“ September 11, 1851) was an American Presbyterian minister and dietary reformer known for his emphasis on vegetarianism, the temperance movement, and eating whole-grain bread. His preaching
inspired the graham flour, graham bread, and graham cracker products. Graham is often referred to as the ""Father of Vegetarianism"" in the United States of America.
",https://en.wikipedia.org/wiki/Grahamism,64,"Thomas Low Nichols, Public domain, via Wikimedia Commons",,,,,,,,,,
Grinberg Method,"The Grinberg Method is a method of teaching that focuses on using the body, specifically body attention, perception and the individual's direct personal experience. The goal is for people to learn to be attentive to themselves and their surroundings, and stop automatic limiting habits in order to increase their ability to recuperate, and attain personal goals and well-being. The method was developed in the early 1980s by Avi Grinberg.
",https://en.wikipedia.org/wiki/Grinberg_Method,65,,,,,,,,,,,
Graphology,"Graphology is the analysis of the physical characteristics and patterns of handwriting with attempt to identify the writer, indicate the psychological state at the time of writing, or evaluate personality characteristics. No scientific evidence exists to support graphology, and it is generally considered a pseudoscience or scientifically questionably practice. However, it remains in widespread use in France and has historically been considered legitimate for use in some court cases. The term is sometimes incorrectly used to refer to forensic document examination, due to the fact that aspects of the latter dealing with the examination of handwritten documents are occasionally referred to as graphanalysis.
",https://en.wikipedia.org/wiki/Graphology,66,"Internet Archive Book Images, No restrictions, via Wikimedia Commons",,,,,,,,,,
Hair analysis (alternative medicine),"In mainstream scientific usage, hair analysis is the chemical analysis of a hair sample. The use of hair analysis in alternative medicine as a method of investigation to assist alternative diagnosis is controversial and its use in this manner has been opposed repeatedly by the AMA because of its unproven status and its potential for healthcare fraud.
",https://en.wikipedia.org/wiki/Hair_analysis_(alternative_medicine),67,"BetterMe, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Hatha yoga,"Haá¹­ha yoga is a branch of yoga. The Sanskrit word à¤¹à¤  haá¹­ha literally means ""force"" and thus alludes to a system of physical techniques.
","This article contains Indic text. Without proper rendering support, you may see question marks or boxes, misplaced vowels or missing conjuncts instead of Indic text.",68,"Ian Alexander, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Havening,"Havening, is an alternative therapy developed by Dr. Ronald Ruden MD Ph.D and his brother Dr. Steve Ruden; it relies on ""amygdala depotentiation"" that purportedly can help people with psychological problems, particularly those related to phobias, post-traumatic stress and anxiety.
",https://en.wikipedia.org/wiki/Havening,69,"Arafat Uddin, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons",,,,,,,,,,
Lomilomi massage,"Lomilomi is a word in the Hawaiian and Samoan languages. Lomi, means ""to knead, to rub, or soothe; to work in and out, as the paws of a contented cat."" It may also mean ""to take and turn, to shift"" as in ""the sacred shift within you that is inspired by the healing kahuna..."" said twice ""lomilomi"" for emphasis.
",https://en.wikipedia.org/wiki/Hawaiian_massage,70,"U.S. Navy photo by Mass Communication Specialist 1st Class Jason Swink, Public domain, via Wikimedia Commons",,,,,,,,,,
Herbal medicine,"Herbal medicine (also herbalism) is the study of pharmacognosy and the use of medicinal plants, which are a basis of traditional medicine. There is limited scientific evidence for the safety and efficacy of plants used in 21st century herbalism, which generally does not provide standards for purity or dosage. The scope of herbal medicine commonly includes fungal and bee products, as well as minerals, shells and certain animal parts. Herbal medicine is also called phytomedicine or phytotherapy.
",https://en.wikipedia.org/wiki/Herbalism,71,"Kenny jazzy25, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Holism,"Holism (from Greek á½…Î»Î¿Ï‚ holos ""all, whole, entire"") is the idea that various systems (e.g. physical, biological, social) should be viewed as wholes, not merely as a collection of parts. The term ""holism"" was coined by Jan Smuts in his 1926 book Holism and Evolution.
",https://en.wikipedia.org/wiki/Holistic_living,72,"Internet Archive Book Images, No restrictions, via Wikimedia Commons",,,,,,,,,,
Homeopathy,"Homeopathy or homoeopathy is a pseudoscientific system of alternative medicine. It was conceived in 1796 by the German physician Samuel Hahnemann. Its practitioners, called homeopaths, believe that a substance that causes symptoms of a disease in healthy people can cure similar symptoms in sick people; this doctrine is called similia similibus curentur, or ""like cures like"". Homeopathic preparations are termed remedies and are made using homeopathic dilution. In this process, the selected substance is repeatedly diluted until the final product is chemically indistinguishable from the diluent. Often not even a single molecule of the original substance can be expected to remain in the product. Between each dilution homeopaths may hit and/or shake the product, claiming this makes the diluent remember the original substance after its removal. Practitioners claim that such preparations, upon oral intake, can treat or cure disease.
",https://en.wikipedia.org/wiki/Homeopathy,73,"Dr. Moumita Sahana, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Traditional medicine,"Traditional medicine (also known as indigenous or folk medicine) comprises medical aspects of traditional knowledge that developed over generations within the folk beliefs of various societies before the era of modern medicine. The World Health Organization (WHO) defines traditional medicine as ""the sum total of the knowledge, skills, and practices based on the theories, beliefs, and experiences indigenous to different cultures, whether explicable or not, used in the maintenance of health as well as in the prevention, diagnosis, improvement or treatment of physical and mental illness"".  Traditional medicine is contrasted with scientific medicine.
",https://en.wikipedia.org/wiki/Home_remedy,74,"KwesiRaul, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Horticultural therapy,"Horticultural therapy (also known as social and therapeutic horticulture or STH) is defined by the American Horticultural Therapy Association (AHTA) as the engagement of a person in gardening and plant-based activities, facilitated by a trained therapist, to achieve specific therapeutic treatment goals. Direct contact with plants is believed to  guide a person's focus away from stress enhancing their overall quality of life. The AHTA believes that horticultural therapy is an active process which occurs in the context of an established treatment plan. Horticultural therapists are specially educated and trained members of rehabilitation teams (with doctors, psychiatrists, psychologists, occupational therapists and others) who involve the client in all phases of gardening,  from propagation to selling products, as a means of bringing about improvement in their life.",https://en.wikipedia.org/wiki/Horticultural_therapy,75,"Dan Keck from Ohio, CC0, via Wikimedia Commons",,,,,,,,,,
Hydrotherapy,"Hydrotherapy, formerly called hydropathy and also called water cure, is a part of alternative medicine (particularly naturopathy), occupational therapy, and physiotherapy, that involves the use of water for pain relief and treatment. The term encompasses a broad range of approaches and therapeutic methods that take advantage of the physical properties of water, such as temperature and pressure, for therapeutic purposes, to stimulate blood circulation and treat the symptoms of certain diseases.
",https://en.wikipedia.org/wiki/Hydrotherapy,76,"photographers unknown, PD in Israel after 50 years., Public domain, via Wikimedia Commons",,,,,,,,,,
Hypnosis,"Hypnosis is a human condition involving focused attention, reduced peripheral awareness, and an enhanced capacity to respond to suggestion.
",https://en.wikipedia.org/wiki/Hypnosis,77,"(Derbyshire et al. 2009)., CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Hypnotherapy,"Hypnotherapy is a type of alternative medicine in which hypnosis is used to create a state of focused attention and increased suggestibility during which positive suggestions and guided imagery are used to help individuals deal with a variety of concerns and issues.
",https://en.wikipedia.org/wiki/Hypnotherapy,78,"Lawrencedwolf, CC0, via Wikimedia Commons",,,,,,,,,,
Introspection Rundown,"The Introspection Rundown is a controversial Church of Scientology auditing process that is intended to handle a psychotic episode or complete mental breakdown.  Introspection is defined for the purpose of this rundown as a condition where the person is ""looking into one's own mind, feelings, reactions, etc.""  The result is ""the person extroverted, no longer looking inward worriedly continuously without end."" 
",https://en.wikipedia.org/wiki/Introspection_rundown,79,"Vaishnav26, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Iridology,"Iridology (also known as iridodiagnosis or iridiagnosis) is an alternative medicine technique whose proponents claim that patterns, colors, and other characteristics of the iris can be examined to determine information about a patient's systemic health. Practitioners match their observations to iris charts, which divide the iris into zones that correspond to specific parts of the human body. Iridologists see the eyes as ""windows"" into the body's state of health.
",https://en.wikipedia.org/wiki/Iridology,80,".The original uploader was Fabiform at English Wikipedia., CC BY-SA 3.0 <http://creativecommons.org/licenses/by-sa/3.0/>, via Wikimedia Commons",,,,,,,,,,
Isolation tank,"An isolation tank, sensory deprivation tank, float tank, float pod, float cabin, flotation tank, or sensory attenuation tank is a pitch-black, light-proof, soundproof environment heated to the same temperature as the skin. Flotation tanks are widely advertised as a form of alternative medicine. The tank is filled with 10 inches of water which contains enough dissolved Epsom salt to create a specific gravity of approximately 1.25â€“1.26. This environment allows an individual to float effortlessly on the surface of the water. The primary function of the isolation tank is to eliminate as many of the external senses as possible. They were first used in 1954 to test the effects of sensory deprivation.
",https://en.wikipedia.org/wiki/Isolation_tank,81,"Justin S. Feinstein ,   Sahib S. Khalsa,   Hung-wen Yeh,   Colleen Wohlrab,   W. Kyle Simmons,   Murray B. Stein,    Martin P. Paulus, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons",,,,,,,,,,
Jilly Juice,"Jilly Juice is a fermented drink and a form of alternative medicine that is claimed by its proponents to be able to cure an assortment of conditions, including cancer and autism, as well as regenerate missing limbs, reverse the effects of aging, and ""cure homosexuality"". No studies have proven any of these claims, nor has the FDA (Food and Drug Administration) approved the recipe. The juice, composed of water, salt, and fermented cabbage or kale, is falsely claimed to expunge Candida (a yeast) and parasitic worms. Scientific evidence has shown that this treatment is not only ineffective, but is also toxic with potentially deadly adverse effects.
",https://en.wikipedia.org/wiki/Jilly_Juice,82,"Y tambe, CC BY-SA 3.0 <http://creativecommons.org/licenses/by-sa/3.0/>, via Wikimedia Commons",,,,,,,,,,
Laughter,"Laughter is a physical reaction in humans consisting usually of rhythmical, often audible contractions of the diaphragm and other parts of the respiratory system. It is a response to certain external or internal stimuli. Laughter can arise from such activitie. As as being tickled, or from humorous stories or thoughts. Most commonly, it is considered an auditory expression of a number of positive emotional states, such as joy, mirth, happiness, relief, etc. On some occasions, however, it may be caused by contrary emotional states such as embarrassment, surprise, or confusion such as nervous laughter or courtesy laugh. Age, gender, education, language, and culture are all indicators as to whether a person will experience laughter in a given situation. Some other species of primate (chimpanzees, gorillas and orangutans) show laughter-like vocalizations in response to physical contact such as wrestling, play chasing or tickling.
",https://en.wikipedia.org/wiki/Laughter#Laughter_therapy,83,"Nauravainenanu, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Light therapy,"Light therapyâ€”or phototherapy, classically referred to as heliotherapyâ€”consists either of exposure to daylight or some equivalent form of light as a treatment for seasonal affective disorder (SAD), or exposure of the skin to specific wavelengths of light using polychromatic polarised light to treat a skin condition.
",https://en.wikipedia.org/wiki/Light_therapy,84,"Lou Sander, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Macrobiotic diet,"A macrobiotic diet (or macrobiotics) is a fad diet based on ideas about types of food drawn from Zen Buddhism. The diet tries to balance the supposed yin and yang elements of food and cookware. Major principles of macrobiotic diets are to reduce animal products, eat locally grown foods that are in season, and consume meals in moderation.
",https://en.wikipedia.org/wiki/Macrobiotic_lifestyle,85,"THOR, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons",,,,,,,,,,
Manual therapy,"Manual therapy, or manipulative therapy, is a physical treatment primarily used by physical therapists, physiotherapists, occupational therapists to treat musculoskeletal pain and disability; it mostly  includes kneading and manipulation of muscles, joint mobilization and joint manipulation. It's also used by RolfersÂ®, massage therapists, athletic trainers, osteopaths, and physicians 
",https://en.wikipedia.org/wiki/Manipulative_therapy,86,"Prof.mohanty, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Manual lymphatic drainage,"Manual lymphatic drainage (MLD) is a type of massage based on the hypothesis that it will encourage the natural drainage of the lymph, which carries waste products away from the tissues back toward the heart. The lymph system depends on intrinsic contractions of the smooth muscle cells in the walls of lymph vessels (peristalsis) and the movement of skeletal muscles to propel lymph through the vessels to lymph nodes and then to the lymph ducts which return lymph to the cardiovascular system. Manual lymph drainage uses a specific amount of pressure (less than 9 ounces per square inch or about 4 kPa) and rhythmic circular movements to stimulate lymph flow. Clinical studies of MLD conclude that further study of the practice is required before recommending it as an effective health treatment.
",https://en.wikipedia.org/wiki/Manual_lymphatic_drainage,87,"​Polska Wikipedia user Kpjas, GFDL <http://www.gnu.org/copyleft/fdl.html>, via Wikimedia Commons",,,,,,,,,,
Massage,"Massage is the manipulation of the body's soft tissues. Massage techniques are commonly applied with hands, fingers, elbows, knees, forearms, feet, or a device. The purpose of massage is generally for the treatment of body stress or pain. A person professionally trained to give massages is traditionally known as a masseur (male) or a masseuse (female) in European countries.  In the United States, these individuals are often referred to as massage therapists because they must be certified and licensed as ""Licensed Massage Therapists"".
",https://en.wikipedia.org/wiki/Massage,88,"Peter van der Sluijs, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Sati (Buddhism),"Sati (from Pali: à¤¸à¤¤à¤¿; Sanskrit: à¤¸à¥à¤®à¥ƒà¤¤à¤¿ smá¹›ti) is mindfulness or awareness, a spiritual or psychological faculty (indriya) that forms an essential part of Buddhist practice. It is the first factor of the Seven Factors of Enlightenment. ""Correct"" or ""right"" mindfulness (Pali: sammÄ-sati, Sanskrit samyak-smá¹›ti) is the seventh element of the Noble Eightfold Path.
",https://en.wikipedia.org/wiki/Mindfulness_(Buddhism),89,"Mangokeylime, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Vipassana,"VipassanÄ (PÄli) or vipaÅ›yanÄ (Sanskrit) literally ""special, super (Vi), seeing (PassanÄ)"", is a Buddhist term that is often translated as ""insight"". The Pali Canon describes it as one of two qualities of mind which is developed (bhÄvanÄ) in Buddhist meditation, the other being samatha (mind calming). It is often defined as a form of meditation that seeks ""insight into the true nature of reality"", defined as anicca ""impermanence"", dukkha ""suffering, unsatisfactoriness"", anattÄ ""non-self"", the three marks of existence in the Theravada tradition, and as Å›Å«nyatÄ ""emptiness"" and Buddha-nature in the Mahayana traditions.
",https://en.wikipedia.org/wiki/Vipassana,90,"Joe Ravi, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Meridian (Chinese medicine),"The meridian system (simplified Chinese: ç»ç»œ; traditional Chinese: ç¶“çµ¡; pinyin: jÄ«ngluÃ², also called channel network) is a concept in traditional Chinese medicine (TCM). Meridians are paths through which the life-energy known as ""qi"" flows.
",https://en.wikipedia.org/wiki/Meridian_(Chinese_medicine),91,"KVDP, Public domain, via Wikimedia Commons",,,,,,,,,,
Orthomolecular medicine,"Orthomolecular medicine is a form of alternative medicine that aims to maintain human health through nutritional supplementation. The concept builds on the idea of an optimal nutritional environment in the body and suggests that diseases reflect deficiencies in this environment. Treatment for disease, according to this view, involves attempts to correct ""imbalances or deficiencies based on individual biochemistry"" by use of substances such as vitamins, minerals, amino acids, trace elements and fatty acids. The notions behind orthomolecular medicine are not supported by sound medical evidence, and the therapy is not effective; even the validity of calling the orthomolecular approach a form of medicine has been questioned since the 1970s.
",https://en.wikipedia.org/wiki/Orthomolecular_medicine,92,"Padoctor, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Mind body interventions,"Mindâ€“body interventions (MBI) (often used interchangeably with Mind-body training (MBT)) describes health and fitness interventions that are supposed to work on a physical and mental level such as yoga, tai chi, and pilates.
",https://en.wikipedia.org/wiki/Mind%E2%80%93body_intervention,93,"Racoon90, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Moxibustion,"Moxibustion (Chinese: ç¸; pinyin: jiÇ”) is a traditional Chinese medicine therapy which consists of burning dried mugwort (wikt:moxa) on particular points on the body. It plays an important role in the traditional medical systems of China, Tibet, Japan, Korea, Vietnam, and Mongolia. Suppliers usually age the mugwort and grind it up to a fluff; practitioners burn the fluff or process it further into a cigar-shaped stick. They can use it indirectly, with acupuncture needles, or burn it on the patient's skin.
",https://en.wikipedia.org/wiki/Moxibustion,94,"Markgran, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Myofascial release,"Myofascial release (MFR, self-myofascial release) is an alternative medicine therapy claimed to be useful for treating skeletal muscle immobility and pain by relaxing contracted muscles, improving blood, oxygen, and lymphatic circulation, and stimulating the stretch reflex in muscles.
",https://en.wikipedia.org/wiki/Myofascial_release,95,"Muthu.G, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Naturopathy,"Naturopathy or naturopathic medicine is a form of alternative medicine that employs an array of pseudoscientific practices branded as ""natural"", ""non-invasive"", or promoting ""self-healing"". The ideology and methods of naturopathy are based on vitalism and folk medicine, rather than evidence-based medicine (EBM). Naturopathic practitioners generally recommend against following modern medical practices, including but not limited to medical testing, drugs, vaccinations, and surgery. Instead, naturopathic practice relies on unscientific notions, often leading naturopaths to diagnoses and treatments that have no factual merit.
",https://en.wikipedia.org/wiki/Naturopathic_medicine,96,"Sathiyanandham1011, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
New Thought,"Antiquity
",https://en.wikipedia.org/wiki/New_thought,97,"The Elizabeth Towne Company, illustrated by Henry Ritz, Public domain, via Wikimedia Commons",,,,,,,,,,
Neuro-linguistic programming,"Neuro-linguistic programming (NLP) is a pseudoscientific approach to communication, personal development, and psychotherapy created by Richard Bandler and John Grinder in California, United States, in the 1970s. NLP's creators claim there is a connection between neurological processes (neuro-), language (linguistic) and behavioral patterns learned through experience (programming), and that these can be changed to achieve specific goals in life. Bandler and Grinder also claim that NLP methodology can ""model"" the skills of exceptional people, allowing anyone to acquire those skills. They claim as well that, often in a single session, NLP can treat problems such as phobias, depression, tic disorders, psychosomatic illnesses, near-sightedness, allergy, the common cold, and learning disorders. NLP has been adopted by some hypnotherapists and also by companies that run seminars marketed as leadership training to businesses and government agencies.
",https://en.wikipedia.org/wiki/Neuro-linguistic_programming,98,"Michel Awkal, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Numerology,"Reportedly haunted locations:
",https://en.wikipedia.org/wiki/Numerology,99,"O mensageiro, FAL, via Wikimedia Commons",,,,,,,,,,
Orthopathy,"Orthopathy (from the Greek á½€ÏÎ¸ÏŒÏ‚ orthos ""right"" and Ï€Î¬Î¸Î¿Ï‚ pathos ""suffering"") or natural hygiene (NH) is a set of alternative medical beliefs and practices originating from the Nature Cure movement. Proponents claim that fasting, dieting, and other lifestyle measures are all that is necessary to prevent and treat disease.
",https://en.wikipedia.org/wiki/Orthopathy,100,"Nallett, Public domain, via Wikimedia Commons",,,,,,,,,,
Osteopathy,"Osteopathy is a type of alternative medicine that emphasizes physical manipulation of the body's muscle tissue and bones. Practitioners of osteopathy are referred to as osteopaths. Its name derives from Ancient Greek ""bone"" (á½€ÏƒÏ„Î­Î¿Î½) and ""sensitive to"" or ""responding to"" (-Ï€Î¬Î¸ÎµÎ¹Î±).
",https://en.wikipedia.org/wiki/Osteopathy,101,"Wilkes-Barre Times (Wilkes-Barre, Pennsylvania)25 Aug 1900, SatPage 7i1, Public domain, via Wikimedia Commons",,,,,,,,,,
Pilates,"Pilates (/pÉªËˆlÉ‘ËtiËz/; German: [piËˆlaËtÉ™s]) is a physical fitness system developed in the early 20th century by Joseph Pilates, after whom it was named. Pilates called his method ""Contrology"". It is practiced worldwide, especially in Western countries such as Australia, Canada, the United States and the United Kingdom. As of 2005, there were 11 million people practicing the discipline regularly and 14,000 instructors in the United States.
",https://en.wikipedia.org/wiki/Pilates,102,"Junior Brambilla, CC0, via Wikimedia Commons",,,,,,,,,,
Prayer,"Prayer is an invocation or act that seeks to activate a rapport with an object of worship through deliberate communication. In the narrow sense, the term refers to an act of supplication or intercession directed towards a deity (a god), or a deified ancestor. More generally, prayer can also have the purpose of thanksgiving or praise, and in comparative religion is closely associated with more abstract forms of meditation and with charms or spells.
",https://en.wikipedia.org/wiki/Prayer,103,"Shrey Khurana, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Psychic surgery,"Reportedly haunted locations:
",https://en.wikipedia.org/wiki/Psychic_surgery,104,"Open Media Ltd, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Prokarin,"Prokarin (also known as Procarin) is a patented alternative medicine that consists of a mixture of histamine and caffeine. It is marketed as a treatment for multiple sclerosis, but there is no good medical evidence of its safety or effectiveness. The drug lacks any plausible basis in science and is very expensive.
",https://en.wikipedia.org/wiki/Prokarin,105,"Bhagyashri Wakhale, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Qigong,"Qigong (/ËˆtÊƒiËËˆÉ¡É’Å‹/), qi gong, chi kung, or chi gung (simplified Chinese: æ°”åŠŸ; traditional Chinese: æ°£åŠŸ; pinyin: qÃ¬gÅng; Wadeâ€“Giles: châ€˜i kung; lit. 'life-energy cultivation') is a system of coordinated body-posture and movement, breathing, and meditation used for the purposes of health, spirituality, and martial-arts training. With roots in Chinese medicine, philosophy, and martial arts, qigong is traditionally viewed by the Chinese and throughout Asia as a practice to cultivate and balance qi (pronounced approximately as ""chi""), translated as ""life energy"".
",https://en.wikipedia.org/wiki/Qigong,106,"Unknown authorUnknown author, Public domain, via Wikimedia Commons",,,,,,,,,,
